Query 32: i d like to find atelrics dbisceinrg grpah agihrmotls that are based on the eagnviluee doietpcsoiomn or sgnluiar value diocmetosoipn of the acacenjy matrix for the graph i m eaillcpsey ineerttesd in any hsiireutc atlrhgioms for graph cnooilrg and graph ihiospmsrom using this mhetod

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  R  	  0.100  	  0.333
11  	  N  	  0.091  	  0.333
12  	  N  	  0.083  	  0.333
13  	  N  	  0.077  	  0.333
14  	  N  	  0.071  	  0.333
15  	  N  	  0.067  	  0.333
16  	  N  	  0.062  	  0.333
17  	  N  	  0.059  	  0.333
18  	  N  	  0.056  	  0.333
19  	  N  	  0.053  	  0.333
20  	  N  	  0.050  	  0.333
21  	  N  	  0.048  	  0.333
22  	  N  	  0.045  	  0.333
23  	  N  	  0.043  	  0.333
24  	  N  	  0.042  	  0.333
25  	  N  	  0.040  	  0.333
26  	  N  	  0.038  	  0.333
27  	  N  	  0.037  	  0.333
28  	  N  	  0.036  	  0.333
29  	  N  	  0.034  	  0.333
30  	  N  	  0.033  	  0.333
31  	  N  	  0.032  	  0.333
32  	  N  	  0.031  	  0.333
33  	  N  	  0.030  	  0.333
34  	  N  	  0.029  	  0.333
35  	  N  	  0.029  	  0.333
36  	  N  	  0.028  	  0.333
37  	  N  	  0.027  	  0.333
38  	  N  	  0.026  	  0.333
39  	  N  	  0.026  	  0.333
40  	  N  	  0.025  	  0.333
41  	  N  	  0.024  	  0.333
42  	  N  	  0.024  	  0.333
43  	  N  	  0.023  	  0.333
44  	  N  	  0.023  	  0.333
45  	  N  	  0.022  	  0.333
46  	  N  	  0.022  	  0.333
47  	  N  	  0.021  	  0.333
48  	  N  	  0.021  	  0.333
49  	  N  	  0.020  	  0.333
50  	  N  	  0.020  	  0.333
51  	  N  	  0.020  	  0.333
52  	  N  	  0.019  	  0.333
53  	  N  	  0.019  	  0.333
54  	  N  	  0.019  	  0.333
55  	  N  	  0.018  	  0.333
56  	  N  	  0.018  	  0.333
57  	  N  	  0.018  	  0.333
58  	  N  	  0.017  	  0.333
59  	  N  	  0.017  	  0.333
60  	  N  	  0.017  	  0.333
61  	  N  	  0.016  	  0.333
62  	  N  	  0.016  	  0.333
63  	  N  	  0.016  	  0.333
64  	  N  	  0.016  	  0.333
65  	  N  	  0.015  	  0.333
66  	  N  	  0.015  	  0.333
67  	  N  	  0.015  	  0.333
68  	  N  	  0.015  	  0.333
69  	  N  	  0.014  	  0.333
70  	  N  	  0.014  	  0.333
71  	  N  	  0.014  	  0.333
72  	  N  	  0.014  	  0.333
73  	  N  	  0.014  	  0.333
74  	  N  	  0.014  	  0.333
75  	  N  	  0.013  	  0.333
76  	  N  	  0.013  	  0.333
77  	  N  	  0.013  	  0.333
78  	  N  	  0.013  	  0.333
79  	  N  	  0.013  	  0.333
80  	  N  	  0.013  	  0.333
81  	  N  	  0.012  	  0.333
82  	  N  	  0.012  	  0.333
83  	  N  	  0.012  	  0.333
84  	  N  	  0.012  	  0.333
85  	  N  	  0.012  	  0.333
86  	  N  	  0.012  	  0.333
87  	  N  	  0.011  	  0.333
88  	  N  	  0.011  	  0.333
89  	  N  	  0.011  	  0.333
90  	  N  	  0.011  	  0.333
91  	  N  	  0.011  	  0.333
92  	  N  	  0.011  	  0.333
93  	  N  	  0.011  	  0.333
94  	  N  	  0.011  	  0.333
95  	  N  	  0.011  	  0.333
96  	  N  	  0.010  	  0.333
97  	  N  	  0.010  	  0.333
98  	  N  	  0.010  	  0.333
99  	  N  	  0.010  	  0.333
100  	  N  	  0.010  	  0.333
