Query 58: algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.033
03  	  R  	  0.667  	  0.067
04  	  N  	  0.500  	  0.067
05  	  N  	  0.400  	  0.067
06  	  N  	  0.333  	  0.067
07  	  N  	  0.286  	  0.067
08  	  N  	  0.250  	  0.067
09  	  R  	  0.333  	  0.100
10  	  R  	  0.400  	  0.133
11  	  N  	  0.364  	  0.133
12  	  N  	  0.333  	  0.133
13  	  N  	  0.308  	  0.133
14  	  N  	  0.286  	  0.133
15  	  N  	  0.267  	  0.133
16  	  N  	  0.250  	  0.133
17  	  N  	  0.235  	  0.133
18  	  N  	  0.222  	  0.133
19  	  N  	  0.211  	  0.133
20  	  R  	  0.250  	  0.167
21  	  N  	  0.238  	  0.167
22  	  R  	  0.273  	  0.200
23  	  N  	  0.261  	  0.200
24  	  N  	  0.250  	  0.200
25  	  N  	  0.240  	  0.200
26  	  N  	  0.231  	  0.200
27  	  N  	  0.222  	  0.200
28  	  N  	  0.214  	  0.200
29  	  N  	  0.207  	  0.200
30  	  N  	  0.200  	  0.200
31  	  R  	  0.226  	  0.233
32  	  N  	  0.219  	  0.233
33  	  N  	  0.212  	  0.233
34  	  N  	  0.206  	  0.233
35  	  N  	  0.200  	  0.233
36  	  N  	  0.194  	  0.233
37  	  R  	  0.216  	  0.267
38  	  N  	  0.211  	  0.267
39  	  N  	  0.205  	  0.267
40  	  N  	  0.200  	  0.267
41  	  N  	  0.195  	  0.267
42  	  N  	  0.190  	  0.267
43  	  N  	  0.186  	  0.267
44  	  N  	  0.182  	  0.267
45  	  N  	  0.178  	  0.267
46  	  N  	  0.174  	  0.267
47  	  N  	  0.170  	  0.267
48  	  N  	  0.167  	  0.267
49  	  N  	  0.163  	  0.267
50  	  N  	  0.160  	  0.267
51  	  N  	  0.157  	  0.267
52  	  N  	  0.154  	  0.267
53  	  N  	  0.151  	  0.267
54  	  N  	  0.148  	  0.267
55  	  N  	  0.145  	  0.267
56  	  N  	  0.143  	  0.267
57  	  N  	  0.140  	  0.267
58  	  N  	  0.138  	  0.267
59  	  N  	  0.136  	  0.267
60  	  N  	  0.133  	  0.267
61  	  N  	  0.131  	  0.267
62  	  N  	  0.129  	  0.267
63  	  N  	  0.127  	  0.267
64  	  N  	  0.125  	  0.267
65  	  N  	  0.123  	  0.267
66  	  N  	  0.121  	  0.267
67  	  N  	  0.119  	  0.267
68  	  N  	  0.118  	  0.267
69  	  N  	  0.116  	  0.267
70  	  N  	  0.114  	  0.267
71  	  R  	  0.127  	  0.300
72  	  N  	  0.125  	  0.300
73  	  N  	  0.123  	  0.300
74  	  N  	  0.122  	  0.300
75  	  N  	  0.120  	  0.300
76  	  N  	  0.118  	  0.300
77  	  N  	  0.117  	  0.300
78  	  N  	  0.115  	  0.300
79  	  N  	  0.114  	  0.300
80  	  N  	  0.113  	  0.300
81  	  R  	  0.123  	  0.333
82  	  N  	  0.122  	  0.333
83  	  N  	  0.120  	  0.333
84  	  N  	  0.119  	  0.333
85  	  N  	  0.118  	  0.333
86  	  N  	  0.116  	  0.333
87  	  N  	  0.115  	  0.333
88  	  N  	  0.114  	  0.333
89  	  N  	  0.112  	  0.333
90  	  N  	  0.111  	  0.333
91  	  N  	  0.110  	  0.333
92  	  N  	  0.109  	  0.333
93  	  N  	  0.108  	  0.333
94  	  N  	  0.106  	  0.333
95  	  N  	  0.105  	  0.333
96  	  N  	  0.104  	  0.333
97  	  N  	  0.103  	  0.333
98  	  N  	  0.102  	  0.333
99  	  N  	  0.101  	  0.333
100  	  N  	  0.100  	  0.333
